,Name,Address,City,State,Postal Code,Telephone,Overall Niche Grade,Public Schools,Crime & Safety,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute
0,Buffalo Wild Wings,163 Lee Ave,Pikeville,KY,41501,(606) 432-2936,B-,C+,B-,B,B,B-,C+,C+,B+,A-,C+,B,B+
1,Buffalo Wild Wings,2916 James Sanders Blvd,Paducah,KY,42001,(270) 444-5795,A-,A,C+,B+,A-,A-,B+,B,B,A-,A-,B,B
2,Buffalo Wild Wings,2139 Lantern Ridge Dr,Richmond,KY,40475,(859) 624-2437,A-,B,B-,B,A,B+,B-,B+,B+,B+,B+,B+,A-
3,Buffalo Wild Wings,1511 Ring Rd,Elizabethtown,KY,42701,(270) 234-8723,A-,B+,B-,B+,B,A-,B+,B,B-,B+,A-,B+,B
4,Buffalo Wild Wings,2916 Fort Campbell Blvd,Hopkinsville,KY,42240,(270) 887-0905,B,C+,C+,B-,A-,B,A-,C,B-,A-,B-,B,A-
5,Buffalo Wild Wings,106 Magnolia Dr Ste 103 Magnolia Crossing Shopping Center,Georgetown,KY,40324,(502) 867-7649,A-,B,B,A-,B,A-,B,A,B-,A-,B+,C+,A-
6,Buffalo Wild Wings,4736 Towne Square Mall,Owensboro,KY,42301,(270) 686-7800,A-,B+,B-,B+,A-,B,B,B-,B,A-,A-,C+,A-
7,Buffalo Wild Wings,1760 Scottsville Rd,Bowling Green,KY,42104,(270) 842-9464,A,A-,C+,B+,A-,A-,B,A-,B-,B+,A-,C+,A-
8,Buffalo Wild Wings,4736 Frederica St,Owensboro,KY,42301,(270) 686-7800,A-,B+,B-,B+,A-,B,B,B-,B,A-,A-,C+,A-
9,Buffalo Wild Wings,1055 Bardstown Rd,Louisville,KY,40204,(502) 454-3635,A,B,C-,B,A+,B+,B,B+,B,B,B+,B+,A
10,Buffalo Wild Wings,3090 Old Todds Rd,Lexington,KY,40509,(859) 263-9464,A+,A-,C+,A-,A,A,A-,A-,B-,B,A,B,A-
11,Buffalo Wild Wings,3441 Valley Plaza Pkwy,Ft Mitchell,KY,41017,(859) 344-9464,A,B+,B-,A-,A-,A,B-,B-,B-,B+,A,A-,B
12,Buffalo Wild Wings,1080 S Broadway Ste 104,Lexington,KY,40504,(859) 233-2999,A,A,C+,C+,A,A-,A-,B-,B-,B,A,B+,A
13,Buffalo Wild Wings,9134 Taylorsville Rd,Louisville,KY,40299,(502) 499-2356,A-,B,C-,B+,A-,A-,B,A-,B,B+,A-,B+,A-
14,Buffalo Wild Wings,2004 Centennial Blvd,Independence,KY,41051,(859) 356-0602,B+,B,B-,B+,A-,A-,C+,C+,C+,B+,B+,B+,B+
15,Buffalo Wild Wings,8840 Bankers St,Florence,KY,41042,(859) 746-9464,A,B,B-,B+,A,A-,B,A,C+,B+,A-,A-,A-
16,Buffalo Wild Wings,111 Jett Blvd,Frankfort,KY,40601,(502) 695-0104,B+,B-,C+,B,A-,B,B+,B+,B-,A-,B+,B-,A-
17,Buffalo Wild Wings,10206 Westport Rd,Louisville,KY,40241,(502) 394-9596,A,B+,C-,B+,B,A-,A-,A-,B-,B,A-,B,A-
18,Buffalo Wild Wings,4600 Shelbyville Rd Ste 501,Louisville,KY,40207,(502) 899-7732,A+,B,C-,B+,A,A,B,A,B,B,A-,B+,A-
