,Postal Code,City,State,Overall Niche Grade,Public Schools,Crime & Safety,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute
0,29592,Sellers,SC,C+,C,C-,A,C,C+,A-,B-,A,A+,C-,C+,C-
1,17954,Minersville,PA,B-,C,B,B-,A,C+,C+,C,B-,B+,B-,B-,B+
2,32092,Saint Augustine,FL,A,A,C,A-,B+,A,B,A,A-,B-,A-,B,B-
3,32544,Hurlburt Field,FL,B-,A-,C+,C-,C+,B+,B,C,B-,C+,C+,B+,A
4,18333,Kresgeville,PA,B-,B,B,B,A-,B-,B+,C+,C+,B,B,B+,C-
5,94521,Concord,CA,B+,B,C+,C-,B,B+,A,C+,A-,C-,A+,A,A
6,18346,Pocono Summit,PA,B-,B-,B,C,B,B-,A,B-,B-,C+,B,B,C+
7,83321,Castleford,ID,B-,C+,B-,B-,B-,C+,A-,A,C,B+,B-,C+,B-
8,56110,Adrian,MN,B,B,B,A,A-,B,C+,A-,C,A,C+,B-,C+
9,50466,Riceville,IA,B,C+,A+,B+,B-,B+,C,B,B-,A,C+,C+,A-
10,77423,Brookshire,TX,B,B-,C+,B,B-,B-,A+,A-,B+,B+,B-,C+,A-
13,35111,Mc Calla,AL,B,B-,C-,B+,B,B-,B,B+,B,A-,B,C+,C+
15,57552,Midland,SD,B-,C+,A+,A-,C-,B,C+,B+,C-,A,C+,C-,C+
16,43437,Jerry City,OH,C+,B+,A-,B,C,B+,B,C+,B-,A-,C+,B+,C-
18,70056,Gretna,LA,B+,C,C+,C+,A,B,A+,B-,B-,B,B+,A-,A-
19,33930,Felda,FL,C-,C,C,C+,C,C+,B+,B-,A+,A,C,B,C-
20,54213,Forestville,WI,B,B+,A+,B+,B-,B+,C+,B,C+,A-,B-,B,B
21,29404,Charleston Afb,SC,C+,B-,C,D+,C+,C+,B+,B,A-,B-,B-,B-,B+
23,11569,Point Lookout,NY,B+,A,B+,C-,B+,A,C,B,B,C-,B-,A,B+
24,28352,Laurinburg,NC,B-,C+,C-,C+,B,C+,NG,C-,B+,A-,B,B,A-
25,53066,Oconomowoc,WI,A,A-,A-,B+,A-,A+,C+,B+,C+,B,A,A,A-
26,91011,La Canada Flintridge,CA,A+,A+,C,C,B,A+,A-,B+,A-,D+,A+,A,B
27,46738,Garrett,IN,B,B-,B+,B+,A-,B,C+,B,B,A,B-,B-,B-
28,67364,Tyro,KS,C,B-,C+,B,C-,C+,NG,C-,B+,A,C,C-,C-
29,80821,Hugo,CO,B-,B-,A-,B,B-,C+,B-,B+,C-,B,B-,C-,B+
31,76687,Thornton,TX,C+,B-,C,B-,C,C,B-,B+,A,A-,C,C+,B
34,08348,Port Elizabeth,NJ,C-,A,C,C-,C+,C-,C-,C,B,C+,C,B,C-
35,54832,Drummond,WI,C+,B-,B,C,B-,C+,C,C+,C-,B,B-,B-,C+
37,64650,Kingston,MO,B-,B,B+,A-,C,B,B-,B-,B,A,C-,C+,B
38,44659,Mount Eaton,OH,B-,B,B-,B,B,B,C,B-,C+,A,B,B-,C+
40,57020,Crooks,SD,C+,C+,C+,B+,B-,B-,C,A-,C,B+,B-,B-,C+
41,01005,Barre,MA,B-,B-,B-,B-,C+,B,C+,B,C+,B-,B,A,C+
42,33813,Lakeland,FL,A,B,C+,B+,A-,A-,B+,A-,A,B,A-,A-,B-
43,14612,Rochester,NY,B+,B-,C,B-,A-,B,B,B+,C-,B-,A-,A-,A-
44,78237,San Antonio,TX,C+,C-,C,C,A-,C-,C,B-,A-,A-,A-,C+,A-
45,85301,Glendale,AZ,B,C+,C+,C,A,B-,A-,C,A,B,A,B+,A
46,81647,New Castle,CO,B-,C+,B-,C,B+,C+,A-,C+,C+,C-,A,C+,B+
47,42060,Lovelaceville,KY,D-,B-,A,C,C-,D+,D-,D,B-,A-,C,C+,D-
48,76054,Hurst,TX,A+,A+,C+,A-,A-,A,B+,A,A-,B,A,B-,A-
49,76487,Poolville,TX,C,B,B,B-,C-,C+,B-,A-,B+,B+,C,C-,C+
50,21555,Oldtown,MD,C,B-,C+,B+,C-,C+,C+,C+,B,A,C+,B-,C-
51,65804,Springfield,MO,A,B,C-,B,A,B+,B-,A-,B,A-,A,A-,A-
52,58032,Forman,ND,B-,C,NG,B+,B-,B-,B-,A+,C-,A,C+,C,B
54,71759,Norphlet,AR,C+,B,C-,B+,C-,B-,B-,B+,A-,A,C-,C,C-
55,68882,Wolbach,NE,B-,B-,NG,B,B-,C+,C+,B,NG,A,C-,C,B
57,71853,Ogden,AR,C+,B-,B,A,C-,B-,A-,B,A-,A,C,C+,C-
58,85348,Salome,AZ,C+,C+,B-,B+,C+,C+,B+,A-,C-,A-,C+,C,B
59,76633,China Spring,TX,B,A,C+,A-,C,B+,B-,B+,B+,B+,B,C+,C+
60,40828,Evarts,KY,C+,C+,B+,B+,B,C+,C,C-,A-,A,C-,C+,B
61,57049,North Sioux City,SD,A-,B+,B+,B+,A-,A-,B,A,C+,B+,B+,C+,B
63,96770,Maunaloa,HI,C-,C-,NG,D-,C-,C,NG,C-,A+,C,B,B,C+
64,23401,Keller,VA,D+,B-,B-,D-,C,C,B,D-,B+,B,C,B-,C+
65,04428,Eddington,ME,C+,B,B+,B,C,B-,C,B,C+,B,C+,B,B
66,27295,Lexington,NC,B,B-,C+,B,B+,B-,B,B,B+,A-,B,B-,B
67,45032,Harveysburg,OH,C+,B-,A-,B+,C,B-,C,B+,B-,A-,B-,B-,C+
68,07739,Little Silver,NJ,A,A+,B,B-,B-,A+,C,A-,B,C-,A+,A,A
69,77651,Port Neches,TX,B+,A-,C-,B+,B,B+,B+,B,A,B+,B-,B+,A-
70,21829,Girdletree,MD,B-,A-,C+,B+,B-,B,C+,C+,A-,A-,C+,B-,C+
72,13664,Morristown,NY,C+,C,B,B-,B,C,C,C+,C,B,B,C+,B+
74,24360,Max Meadows,VA,B-,C+,B,B+,B-,B-,B-,B-,A-,A,B-,B-,C+
77,76872,Rochelle,TX,B-,C+,A,A-,C-,B-,B-,A,B+,A-,C+,C-,C+
78,74632,Braman,OK,B,B,B-,A,B-,B-,B-,B+,B+,A,C+,C-,C+
80,63953,Naylor,MO,B-,B,C-,A-,C,B-,NG,C+,B+,A,C+,C+,B
82,77062,Houston,TX,A+,A+,C-,A-,A-,A+,A,A,B+,B,A-,A-,A-
83,49060,Hickory Corners,MI,B+,A-,A-,B,C+,A,C+,B+,C-,B+,C+,B+,C+
86,68406,Milligan,NE,B-,C+,NG,B+,B-,C+,C,A,B-,A,C,C,C+
87,49079,Paw Paw,MI,B+,B-,B,B+,A-,B+,B-,B,C-,A-,B-,B-,A-
89,27009,Belews Creek,NC,B-,C+,C,A-,C,B-,B-,B-,B+,B+,B,B-,C+
90,34601,Brooksville,FL,B+,B-,C,B-,A-,B-,B,B-,A,A-,B+,B+,A-
92,93066,Somis,CA,B-,C+,B-,D-,B-,C,A,C+,A+,C-,A,B+,B
93,94710,Berkeley,CA,A+,A+,C,C,A,A,A+,C+,A+,D+,A+,A+,A
94,56475,Randall,MN,B-,B-,A-,A-,B-,B+,C+,B,C-,A,C+,B-,B
95,28529,Grantsboro,NC,B-,B-,NG,B+,C,B,B+,A-,A-,A-,C+,B-,C+
96,98682,Vancouver,WA,B+,B,B-,B-,A-,B+,A-,B,B,C+,A,A,A-
97,80923,Colorado Springs,CO,A,B-,C+,B,A-,A-,B+,B+,B-,C+,A,A-,B+
98,38857,Mooreville,MS,C+,B-,NG,B+,C,B,B-,B+,B,A-,C,C+,C-
99,98272,Monroe,WA,B,B-,B-,C+,A-,B-,B+,B,C+,C+,A,B,A-
101,68416,Ohiowa,NE,B-,B,NG,A-,C-,B+,A-,B,B-,A+,C,C,C+
102,50672,Steamboat Rock,IA,B-,B,A-,A-,C-,B-,C,B+,B,A,C+,C,B+
103,65629,Chadwick,MO,C,C+,B+,B-,C-,C+,C,B+,B,A-,C+,B-,C-
104,15676,Pleasant Unity,PA,B,A-,B,B-,A-,B,C-,C+,C-,B,C+,B-,C-
106,14169,Wales Center,NY,C-,A-,C,C-,C+,C+,C-,C,C-,B-,B-,B+,C-
108,36104,Montgomery,AL,C+,D+,C-,D+,A,C-,B-,C-,B,B+,B,B+,B+
109,25621,Gilbert,WV,C+,C,B,B,B-,B-,C-,C-,B+,A,C-,B+,C+
110,60644,Chicago,IL,C,C+,C-,D-,A-,C,C+,D-,B-,C+,B+,A-,A
111,45167,Ripley,OH,B-,C+,B,B,B+,C+,C+,B-,C+,A,C,C+,B
112,85630,Saint David,AZ,B-,B+,B-,B+,C-,B,B-,C,B,B+,B-,C+,C-
114,65484,Huggins,MO,B,C+,B,A,C,C+,C-,A-,B,A+,C,C+,D-
115,39630,Bude,MS,C+,C+,NG,C-,B-,B-,B,C-,B,B+,C-,C,B+
117,67137,Severy,KS,B-,A-,NG,A,C,B,B-,B+,B+,A+,C+,C+,C-
118,41547,Majestic,KY,C+,C+,B-,B+,C,C+,C-,C+,A-,A+,C-,C+,C-
119,54826,Comstock,WI,C+,B-,A-,B,B-,B-,B-,B,C,B+,C+,B,C+
121,39755,Pheba,MS,B-,B+,C+,B,C-,B-,A-,B-,A,A,C-,C+,C+
122,12503,Ancramdale,NY,B-,B-,A-,C+,C+,B,B-,B-,C+,C+,B-,B,B+
123,31532,Denton,GA,C+,B-,B,B-,B-,B-,B-,B-,A,A,C,C+,C+
124,82401,Worland,WY,B+,B,A,B,A-,B+,B+,C+,D,B,A,C+,A-
125,07063,Plainfield,NJ,C,C-,C+,D+,B,C,NG,C,B-,C,B-,A-,A-
126,33709,Saint Petersburg,FL,B+,C+,C,B,A-,B,A-,B,A,B+,A-,A-,A
128,50122,Hubbard,IA,B,B,A-,A,C,A-,C+,B+,B-,A,B-,C+,B
130,32934,Melbourne,FL,A-,A,C,B+,A-,A-,B+,B,A+,B,B,B+,B+
131,58053,Lidgerwood,ND,B,B+,A-,B+,B-,B,B-,A-,C-,A,C+,C,B
133,01225,Cheshire,MA,C,C,B-,C,C+,C+,C,C+,C,B,B,A,C+
134,02908,Providence,RI,B+,C-,B-,C-,A,B,A+,C,B-,C+,B+,A,A
135,75433,Cumby,TX,B-,B,B-,A-,B-,B,B-,B,B+,A-,C+,B-,C-
136,02114,Boston,MA,A,C+,C,C-,A+,B,A-,B,B-,C-,A+,A,A
137,91016,Monrovia,CA,A-,B+,C,C-,A,B+,A+,C,A,C-,A+,A,A
138,49683,Thompsonville,MI,B,C+,A,B,A-,B-,B-,B+,C+,A-,B-,B-,B
139,53027,Hartford,WI,A-,A-,A-,B,A-,A,C+,A-,C+,B+,B+,A,A-
140,70455,Robert,LA,C-,B-,C-,C+,B,C-,B-,C,B+,B+,C,C+,C-
142,02109,Boston,MA,A,C+,C,D+,A+,B,B-,B,B-,C-,A+,A,A
143,12577,Salisbury Mills,NY,B-,B+,B-,C,B-,B+,B-,B-,B-,C,B-,A,B+
144,62248,Hecker,IL,B-,B+,A,A-,C,A-,C+,B,B,A-,C,B+,C+
145,46075,Whitestown,IN,A-,A-,B+,A-,B,A,B-,A,B-,B,B,B-,C-
146,74145,Tulsa,OK,A-,B,C-,B,A,B,NG,B+,B+,B+,A-,B+,A-
148,25984,Rupert,WV,C+,C+,A,B+,C,B,B-,C+,A-,A,C,B,C-
149,60030,Grayslake,IL,A+,A,B,B+,A-,A+,B+,A-,C+,B-,A,A,A-
150,49446,New Era,MI,B,B-,B,A-,B-,B+,B,B+,C-,A,C+,B,B
154,31044,Jeffersonville,GA,B,C-,A+,B+,B-,B-,A-,B+,A-,A,C,C+,B-
157,19141,Philadelphia,PA,C+,D+,C-,C-,A,C,B,C-,B-,B-,B,A-,B+
158,15622,Champion,PA,C-,C+,B-,B,C-,C-,C,B,C-,B+,C-,C+,C+
159,35748,Gurley,AL,A-,A-,C,A-,B-,A-,B-,A-,B+,A,B,B+,B
160,56048,Janesville,MN,B+,B,A,A-,B-,A-,C+,B,C+,A-,C+,B-,A-
161,18844,Springville,PA,C,C+,B+,B-,C,B-,C+,B+,C-,B,C+,B-,C+
163,44052,Lorain,OH,B,C-,B,C+,A-,B,A,C-,C+,A-,B,A-,A-
165,37404,Chattanooga,TN,B,C,C-,C-,A-,B-,A,C-,B,B,B+,A,A
166,20677,Port Tobacco,MD,B,B,B-,B-,B+,B-,B+,B-,B,B-,B,B-,C+
168,92086,Warner Springs,CA,C+,C,B-,C+,C,C-,A-,B-,A-,B-,B+,B,C+
170,68524,Lincoln,NE,A-,A-,B-,B+,A-,A,B+,B+,B-,A-,B-,A-,A-
171,63785,Whitewater,MO,C,B+,C+,B+,C-,C+,C,B+,B-,A,C,C+,C-
175,76596,Gatesville,TX,D-,B+,B-,NG,C+,D-,NG,NG,A,NG,C+,C-,NG
176,69152,Mullen,NE,B+,B,B,A-,B-,B-,C+,A,NG,A,B-,C-,A
177,02125,Dorchester,MA,B,C+,C,D+,A,B-,NG,C-,B-,C-,A-,A,A
179,26836,Moorefield,WV,B,C+,A-,B,B,B,B,B,B-,A-,C,B-,A
181,15865,Sykesville,PA,C+,B,A-,B+,B,B,C,B,C-,A-,C,C+,C+
182,46144,Gwynneville,IN,C+,C+,B-,B+,C-,C-,NG,A,B-,A,C,C+,C-
183,92870,Placentia,CA,A,A,B-,C-,A-,A-,A+,C+,A,D+,A+,A,A
184,22733,Rapidan,VA,C+,B-,B-,B-,C,C+,A-,B-,B+,B-,C+,B-,C-
185,68648,Morse Bluff,NE,B-,A,A-,B,C+,B+,C,A-,B-,B+,C+,C,C+
186,03110,Bedford,NH,A,A+,B-,B+,B-,A+,C+,A-,C+,C,A,A,B+
188,44146,Bedford,OH,B+,C+,C-,C+,A-,B-,A,B-,C,B+,A-,A-,A-
191,44804,Arcadia,OH,B+,B+,B,A-,B-,A-,C+,A-,B-,A,B-,B+,C+
192,92105,San Diego,CA,B,B-,B-,D-,A,B-,A,C-,A,C-,A,A-,A
193,39428,Collins,MS,B-,C-,NG,B,B,B-,A-,B-,B,A,C,C,C+
194,99739,Elim,AK,C-,C,B,B-,C,C-,NG,C-,NG,B+,C+,D-,B+
195,81652,Silt,CO,C+,C+,B-,C,B-,C,A-,C,C+,C,A,C+,B
198,49126,Sodus,MI,C,D+,C+,B,C-,C,B,C+,C+,A-,C,B-,C+
199,53525,Clinton,WI,B-,B-,B-,B-,A-,B-,B,B+,C+,B+,B-,B,C+
200,49249,Jerome,MI,B-,C+,A,B+,B-,B,C+,C+,C+,A-,C+,B+,C-
201,53220,Milwaukee,WI,B+,B-,C-,C+,A,B-,A-,B-,C+,B,A-,A,A-
204,84649,Oak City,UT,C+,C+,NG,B+,C,B-,C+,B+,C-,B,B,C,C-
205,76665,Meridian,TX,B,B+,A-,B+,B-,B+,B+,C+,B+,A-,C+,C+,B
206,53035,Iron Ridge,WI,C+,B,A-,B,B-,B,C+,C+,C+,B,C+,B,C+
207,64788,Urich,MO,C,B-,C+,B,B-,C,C+,B-,B,A,C,C-,C-
208,44077,Painesville,OH,A-,B,B,B,A-,B+,B+,B,C+,B+,A-,B-,A-
209,27019,Germanton,NC,C+,B-,B-,B+,C,B-,C+,B+,B,A,C,B-,C-
210,99602,Holy Cross,AK,D+,C,NG,B-,C,D+,NG,D-,NG,B+,B-,D-,B-
211,95668,Pleasant Grove,CA,C+,B+,C+,C,B,C,B+,C,A,C-,B-,B-,C+
212,77705,Beaumont,TX,B+,B+,C-,B+,A-,B,A,C+,B+,A-,B-,B-,A-
213,64840,Diamond,MO,B-,B-,B-,B+,B-,B,C+,B+,B+,A,C+,B,B
215,72016,Bigelow,AR,C+,C,B-,A-,C,C,B-,B,B,A,C,C+,C+
217,56071,New Prague,MN,A,A-,A-,A-,A-,A,C+,A-,C,B+,A-,A-,A-
219,30326,Atlanta,GA,A+,B,C-,B,A+,A-,A,A,B+,C+,A+,A-,A
220,23708,Portsmouth,VA,C-,C-,NG,NG,B,D-,A-,NG,A-,NG,C,A-,B-
222,68104,Omaha,NE,B+,B-,C,C+,A-,B+,A,C+,B-,B+,B+,A-,A-
223,92274,Thermal,CA,C-,D,C+,C+,C+,C-,C+,C,B-,B,B,B-,B
224,17212,Big Cove Tannery,PA,C,B-,NG,B+,C-,B-,C,B-,B,B+,C,B-,C-
226,62656,Lincoln,IL,A-,B-,B,B+,A,B,A-,B-,B,A-,B+,C+,A
229,53016,Clyman,WI,C+,B-,A-,C+,B,C+,NG,B+,C+,B+,C+,B-,B
230,76114,Fort Worth,TX,B,C+,C+,B-,A-,B-,A,B,A-,B+,B+,C+,A-
231,04654,Machias,ME,B,B-,B,B-,A-,B-,C+,C,C,B,B,B-,A-
232,83277,Springfield,ID,C-,C,B-,B,C-,C,C-,A-,C,B+,C+,B-,C-
234,46807,Fort Wayne,IN,A-,C,C,B+,A,B,A,B-,B,A,B,C+,A
236,24165,Spencer,VA,C,B,NG,C+,C-,C+,A-,C-,B+,A-,C,B-,C-
237,56159,Mountain Lake,MN,B+,B+,A,A-,B-,A,B,B,C,A,C,B+,B+
239,07921,Bedminster,NJ,A,A,A-,B,B,A,B,A-,B-,C,A,B,B
240,32164,Palm Coast,FL,B+,B,C+,B-,B-,B,A-,B,A,B,A-,A-,A-
241,71078,Stonewall,LA,B-,A-,C-,A-,C,B,B,B+,B+,A-,C+,C+,B-
242,79842,Marathon,TX,A-,B+,A-,A,C+,B+,A,B-,B-,A,B-,C-,B-
244,31705,Albany,GA,C+,C-,C-,C-,A-,C-,B+,C-,A,B+,B-,C+,B+
246,57764,Oglala,SD,C-,D-,NG,B,C,C,NG,C-,C-,A+,C-,C,C+
248,16667,Osterburg,PA,C+,C,B+,B+,B-,C+,C+,B-,A-,A-,C,B-,C+
249,52222,Deep River,IA,C+,B-,B,B+,C,C,C,B+,B,A,C+,C-,B
250,72112,Newport,AR,B,B-,C,B,A-,C+,B+,B,A-,A,C+,C+,B
251,55026,Frontenac,MN,B,B+,B+,B+,A-,B+,C+,B+,C+,B,C+,A,C-
253,05776,West Rupert,VT,C,B-,B-,C+,C-,C,C,C+,C-,C+,B,B,B+
255,66541,Summerfield,KS,C+,B,A-,B-,C-,B,C+,A-,B-,A+,C+,C+,C+
256,39046,Canton,MS,B+,B+,B,B,B-,B+,A-,B+,B,B+,B,C+,B
257,88030,Deming,NM,C+,C-,C+,C+,B+,C,A-,C-,C+,B+,B+,C+,B
258,08002,Cherry Hill,NJ,A,B+,B-,C+,A,A,A,B-,B-,C,A-,A-,A-
259,27965,Poplar Branch,NC,C-,B-,NG,C-,B-,C-,C,B-,B+,B-,B-,B,C-
260,14005,Alexander,NY,C+,B,B-,B-,C,B-,C,B,C-,B,C+,A-,A-
261,37322,Decatur,TN,C+,B,C+,B+,B-,B-,C+,C,B-,A-,C+,B-,B
262,33168,Miami,FL,B,C+,C,C+,A,B-,A-,C,A+,B-,B+,A-,A-
263,16037,Harmony,PA,B,A-,A-,A-,B-,B+,C,B+,C,B,B,B-,B
265,60084,Wauconda,IL,A,A-,B,B,A-,A,A-,B,C+,B-,A-,A-,A-
266,59270,Sidney,MT,B-,B-,B+,B+,A-,C+,B-,A+,C-,B,B,C-,B
267,18829,Le Raysville,PA,C,C+,B+,B-,C-,C+,C+,C+,C+,B,C+,B-,C+
268,35980,Horton,AL,B-,B-,C+,B,B-,B-,B,C+,B,A,C+,C+,B
269,29510,Andrews,SC,C+,C-,C+,B-,B-,C,A-,B-,B+,A,C,B-,B
271,97213,Portland,OR,A,A-,C,C+,A,A-,B+,B-,B,C,A+,A,A
273,38921,Charleston,MS,B-,D+,NG,B-,B-,C+,A-,B+,A,A,C,B-,B
274,18628,Lopez,PA,C,C+,NG,B,C-,C+,C,B,C+,B+,C,B-,C-
276,33471,Moore Haven,FL,B,C+,NG,B,B,B-,A,C+,A+,A-,C,B,A-
277,18086,Treichlers,PA,B-,A-,B,B,C,B,C,C+,C+,B-,C+,B-,C-
278,57381,Wessington,SD,B-,C+,A+,B+,B,B,B-,B+,C+,A,C+,D-,C+
279,29148,Summerton,SC,C+,C,C,C+,B-,C,A-,C,B+,A-,C,B-,B
280,85087,New River,AZ,B-,A-,C+,C+,B+,C+,B+,B,A,C,B+,C+,C+
281,31553,Nahunta,GA,B,C+,A+,B,B+,B,C+,B-,B+,A,B-,B-,B
282,90017,Los Angeles,CA,B+,C,C,D+,A+,C+,A-,C+,A+,C-,A+,A,A
283,59444,Galata,MT,C-,B-,NG,C+,C,C-,C,B,C-,B+,C+,D+,B-
285,99610,Kasilof,AK,C+,B-,C+,B,C,C,NG,B-,NG,C+,C+,C,B
286,84652,Redmond,UT,C+,C+,B+,B+,B,C+,B-,B,C-,B,B-,C+,C+
287,97473,Scottsburg,OR,C-,D,B-,C-,C,D+,C+,B-,A,C+,B-,B,C-
288,91381,Stevenson Ranch,CA,A,A+,C,C-,B-,A,A,B-,A-,D+,A,A-,A-
